microbe,std_type,substrate_type,time,substrate_conc,replicate,signal,kill_control,assay_vol,slope,activity
L. rhamnosus GG,amc,l-leucine-amc,0.5,400,1,291885.75,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,400,1,364529.9,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,400,2,52025.77,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,400,2,143667.6,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,400,2,224413.67,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,400,2,296462.59,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,400,2,368590.06,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,400,3,52814.32,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,400,3,144611.04,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,400,3,224220.15,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,400,3,300852.31,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,400,3,373514.31,0,0.001,,
